"Time ID",Date,Year,Quarter,Month,Event
1,2012-07-31,2012,Q3,July,"Order Placed"
2,2013-02-05,2013,Q1,February,"Order Shipped"
3,2013-10-17,2013,Q4,October,"Return Initiated"
4,2013-10-17,2013,Q4,October,"Order Placed"
5,2013-01-28,2013,Q1,January,"Order Shipped"
6,2013-11-05,2013,Q4,November,"Order Delivered"
7,2013-06-28,2013,Q2,June,"Order Placed"
8,2011-11-07,2011,Q4,November,"Order Delivered"
9,2012-04-14,2012,Q2,April,"Order Shipped"
10,2014-10-14,2014,Q4,October,"Order Placed"
11,2012-01-28,2012,Q1,January,"Order Placed"
12,2011-04-05,2011,Q2,April,"Order Shipped"
13,2012-04-19,2012,Q2,April,"Order Delivered"
14,2011-12-27,2011,Q4,December,"Order Shipped"
15,2012-11-13,2012,Q4,November,"Order Placed"
16,2013-06-06,2013,Q2,June,"Order Shipped"
17,2014-07-31,2014,Q3,July,"Order Placed"
18,2014-11-03,2014,Q4,November,"Order Placed"
19,2014-09-08,2014,Q3,September,"Order Shipped"
20,2014-01-31,2014,Q1,January,"Order Placed"
21,2014-12-05,2014,Q4,December,"Order Placed"
22,2012-08-08,2012,Q3,August,"Order Shipped"
23,2011-10-29,2011,Q4,October,"Order Placed"
24,2011-05-02,2011,Q2,May,"Order Shipped"
25,2013-02-27,2013,Q1,February,"Order Placed"
26,2014-07-31,2014,Q3,July,"Order Shipped"
27,2014-09-05,2014,Q3,September,"Order Shipped"
28,2011-12-17,2011,Q4,December,"Order Placed"
29,2011-03-14,2011,Q1,March,"Order Shipped"
30,2013-03-11,2013,Q1,March,"Order Placed"
31,2012-02-25,2012,Q1,February,"Order Placed"
32,2011-12-28,2011,Q4,December,"Order Shipped"
33,2012-07-17,2012,Q3,July,"Order Shipped"
34,2012-10-15,2012,Q4,October,"Order Placed"
35,2011-11-03,2011,Q4,November,"Order Placed"
36,2011-12-12,2011,Q4,December,"Order Shipped"
37,2011-09-14,2011,Q3,September,"Order Shipped"
38,2011-09-14,2011,Q3,September,"Order Placed"
39,2014-11-05,2014,Q4,November,"Order Shipped"
40,2014-01-14,2014,Q1,January,"Order Shipped"
41,2011-01-10,2011,Q1,January,"Order Placed"
42,2013-08-22,2013,Q3,August,"Order Shipped"
43,2014-11-11,2014,Q4,November,"Order Placed"
44,2014-09-26,2014,Q3,September,"Order Shipped"
45,2012-12-13,2012,Q4,December,"Order Shipped"
46,2011-09-23,2011,Q3,September,"Order Placed"
47,2011-09-23,2011,Q3,September,"Order Shipped"
48,2013-03-08,2013,Q1,March,"Order Placed"
49,2014-08-28,2014,Q3,August,"Order Shipped"
50,2014-05-01,2014,Q2,May,"Order Placed"
51,2014-12-18,2014,Q4,December,"Order Placed"
52,2012-06-16,2012,Q2,June,"Order Shipped"
53,2014-09-18,2014,Q3,September,"Order Placed"
54,2014-07-25,2014,Q3,July,"Order Shipped"
55,2011-12-17,2011,Q4,December,"Order Placed"
56,2013-12-18,2013,Q4,December,"Order Shipped"
57,2012-05-30,2012,Q2,May,"Order Placed"
58,2012-03-19,2012,Q1,March,"Order Shipped"
59,2012-05-25,2012,Q2,May,"Order Placed"
60,2014-08-05,2014,Q3,August,"Order Shipped"
61,2014-08-24,2014,Q3,August,"Order Placed"
62,2014-03-11,2014,Q1,March,"Order Shipped"
63,2012-11-08,2012,Q4,November,"Order Placed"
64,2014-08-11,2014,Q3,August,"Order Shipped"
65,2013-08-31,2013,Q3,August,"Order Placed"
66,2014-01-18,2014,Q1,January,"Order Shipped"
67,2013-12-02,2013,Q4,December,"Order Placed"
68,2014-12-07,2014,Q4,December,"Order Shipped"
69,2014-12-16,2014,Q4,December,"Order Placed"
70,2014-11-20,2014,Q4,November,"Order Shipped"
71,2011-11-09,2011,Q4,November,"Order Placed"
72,2013-06-07,2013,Q2,June,"Order Shipped"
73,2011-11-22,2011,Q4,November,"Order Placed"
74,2013-03-29,2013,Q1,March,"Order Shipped"
75,2014-08-26,2014,Q3,August,"Order Placed"
76,2012-09-20,2012,Q3,September,"Order Shipped"
77,2014-05-16,2014,Q2,May,"Order Placed"
78,2012-03-16,2012,Q1,March,"Order Shipped"
79,2013-11-24,2013,Q4,November,"Order Placed"
80,2011-11-09,2011,Q4,November,"Order Shipped"
81,2011-10-28,2011,Q4,October,"Order Placed"
82,2014-11-19,2014,Q4,November,"Order Shipped"
83,2014-10-28,2014,Q4,October,"Order Placed"
84,2014-01-17,2014,Q1,January,"Order Shipped"
85,2014-08-18,2014,Q3,August,"Order Placed"
86,2013-01-29,2013,Q1,January,"Order Shipped"
87,2012-09-18,2012,Q3,September,"Order Placed"
88,2013-11-23,2013,Q4,November,"Order Shipped"
89,2014-06-13,2014,Q2,June,"Order Placed"
90,2013-10-28,2013,Q4,October,"Order Shipped"
91,2013-12-12,2013,Q4,December,"Order Placed"
92,2012-05-25,2012,Q2,May,"Order Shipped"
93,2013-05-06,2013,Q2,May,"Order Placed"
94,2013-12-02,2013,Q4,December,"Order Shipped"
95,2014-12-23,2014,Q4,December,"Order Placed"
96,2013-01-28,2013,Q1,January,"Order Shipped"
97,2012-05-07,2012,Q2,May,"Order Placed"
98,2013-11-27,2013,Q4,November,"Order Shipped"
99,2012-11-28,2012,Q4,November,"Order Placed"
100,2012-09-29,2012,Q3,September,"Order Shipped"
